,Drug_application_number,Application_number,Drug,Therapeutic_Area,Biomarker,Labeling_Sections,Date,Indications and usage,Adverse reactions,Drug_name
0,NDA204114,204114,Trametinib (1),Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",06/23/2020,"1.1 BRAF V600E or V600K Mutation-Positive Unresectable or Metastatic Melanoma  MEKINIST® is indicated, as a single agent in BRAF-inhibitor treatment-naïve patients or in combination with dabrafenib, for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [see Dosage and Administration (2.1)]. 1.2 Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma  MEKINIST is indicated, in combination with dabrafenib, for the adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test, and involvement of lymph node(s), following complete resection [see Dosage and Administration (2.1)].  1.3 BRAF V600E Mutation-Positive Metastatic NSCLC  MEKINIST is indicated, in combination with dabrafenib, for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation as detected by an FDA-approved test [see Dosage and Administration (2.1)].  1.4 BRAF V600E Mutation-Positive Locally Advanced or Metastatic Anaplastic Thyroid Cancer  MEKINIST is indicated, in combination with dabrafenib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options [see Dosage and Administration (2.1), (2.5)].","6.1 Clinical Trials Experience Unresectable or Metastatic BRAF V600E Mutation Positive Melanoma  MEKINIST Administered as a Single Agent  Table 3 presents adverse reactions identified from analyses of the METRIC study, a randomized, open-label trial of patients with BRAF V600E or V600K mutation-positive melanoma receiving MEKINIST (N = 211) 2 mg orally once daily or chemotherapy (N = 99) (either dacarbazine 1,000 mg/m2 every 3 weeks or paclitaxel 175 mg/m2 every 3 weeks) [see Clinical Studies (14.1)]. (–) Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma  The safety of MEKINIST when administered with dabrafenib was evaluated in 435 patients with Stage III melanoma with BRAF V600E or V600K mutations following complete resection who received at least one dose of study therapy in the COMBI-AD study [see Clinical Studies (14.2)]. (–) Metastatic, BRAF V600E Mutation-Positive NSCLC  The safety of MEKINIST when administered with dabrafenib was evaluated in 93 patients with previously untreated (n = 36) and previously treated (n = 57) metastatic BRAF V600E mutation-positive NSCLC in a multicenter, multi-cohort, non-randomized, open-label trial (Study BRF113928). (–) (–)  Locally Advanced or Metastatic, BRAF V600E-Mutation Positive, Anaplastic Thyroid Cancer (ATC)  The safety of MEKINIST when administered with dabrafenib was evaluated in a nine-cohort, multicenter, nonrandomized, open-label study in patients with rare cancers with the BRAF V600E mutation, including locally advanced or metastatic ATC (Study BRF117019). (–)",Trametinib 
1,NDA204114,204114,Trametinib (2),Oncology,G6PD,6 ADVERSE REACTIONS,06/23/2020,,"6.1 Clinical Trials Experience MEKINIST with Dabrafenib (–) The trials excluded patients with abnormal left ventricular ejection fraction, history of acute coronary syndrome within 6 months, history of Class II or greater congestive heart failure (New York Heart Association), history of RVO or RPED, QTcB intervactive brain metastases, or known history of G6PD deficiency. (–)",Trametinib 
2,NDA212526,212526,Alpelisib (1) ,Oncology,ERBB2 (HER2),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",09/01/2020,"PIQRAY is indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CAmutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen.","6.1 Clinical Trial Experience  Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  The safety of PIQRAY was evaluated in a randomized, double-blind, placebo-controlled trial (SOLAR-1) in 571 patients with HR-positive, HER2-negative, advanced or metastatic breast cancer enrolled into two cohorts, with or without a PIK3CA mutation [see Clinical Studies (14)]. (–)",Alpelisib  
3,NDA212526,212526,Alpelisib (2),Oncology,ESR (Hormone Receptor),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",09/01/2020,"PIQRAY is indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CAmutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen.","6.1 Clinical Trial Experience  Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  The safety of PIQRAY was evaluated in a randomized, double-blind, placebo-controlled trial (SOLAR-1) in 571 patients with HR-positive, HER2-negative, advanced or metastatic breast cancer enrolled into two cohorts, with or without a PIK3CA mutation [see Clinical Studies (14)]. (–)",Alpelisib 
4,NDA212526,212526,Alpelisib (3),Oncology,PIK3CA,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",09/01/2020,"PIQRAY is indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CAmutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen.","6.1 Clinical Trial Experience  Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.",Alpelisib 
5,NDA212018,212018,Erdafitinib (1),Oncology,FGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES, 17 PATIENT COUNSELING INFORMATION",04/02/2020,"BALVERSATM is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma (mUC), that has: and Administration, Adverse Reactions, Clinical Studies, Patient Counseling Information Ł susceptible FGFR3 or FGFR2 genetic alterations, and  Ł progressed during or following at least one line of prior platinum-containing chemotherapy, including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy.  Select patients for therapy based on an FDA-approved companion diagnostic for BALVERSA [see Dosage and Administration (2.1) and Clinical Studies (14)].","6.1 Clinical Trials Experience  Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  The safety of BALVERSA was evaluated in the BLC2001 study that included 87 patients with locally advanced or metastatic urothelial carcinoma which had susceptible FGFR3 or FGFR2 genetic alterations, and which progressed during or following at least one line of prior chemotherapy including within 12 months of neoadjuvant or adjuvant chemotherapy [see Clinical Studies (14.1)]. Patients were treated with BALVERSA at 8 mg orally once daily; with a dose increase to 9 mg in patients with phosphate levels <5.5 mg/dL on Day 14 of Cycle 1. Median duration of treatment was 5.3 months (range: 0 to 17 months). (–)",Erdafitinib 
6,NDA021743,21743,Erlotinib,Oncology,EGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",10/18/2016,"1.1 Non-Small Cell Lung Cancer (NSCLC) TARCEVA® is indicated for: Ł The treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test receiving first-line, maintenance, or second or greater line treatment after progression following at least one prior chemotherapy regimen [see Clinical Studies (14.1, 14.3)]. Limitations of use: Ł Safety and efficacy of TARCEVA have not been established in patients with NSCLC whose tumors have other EGFR mutations [see Clinical Studies (14.1, 14.2)].","6.1 Clinical Trial Experience Non-Small Cell Lung Cancer First-Line Treatment of Patients with EGFR Mutations -treated patients were diarrhea, asthenia, rash, cough, dyspnea, and decreased appetite. In TARCEVA-treated patients the median time to onset of rash was 15 days and the median time to onset of diarrhea was 32 days. (–)",Erlotinib
7,NDA211651,211651,Talazoparib (1),Oncology,BRCA,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",03/09/2020,"and Administration, Adverse Reactions, Clinical Studies TALZENNA is indicated for the treatment of adult patients with deleterious or suspected deleterious germline breast cancer susceptibility gene (BRCA)-mutated (gBRCAm) human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer. Select patients for therapy based on an FDA-approved companion diagnostic for TALZENNA [see Dosage and Administration (2.1)].","6.1 Clinical Trials Experience Treatment of gBRCAm HER2-negative Locally Advanced or Metastatic Breast Cancer EMBRACA The safety of TALZENNA as monotherapy was evaluated in gBRCAm patients with HER2-negative locally advanced or metastatic breast cancer who had previously received no more than 3 lines of chemotherapy for the treatment of locally advanced/metastatic disease. EMBRACA was a randomized, open-label, multi-center study in which 412 patients received either TALZENNA 1 mg once daily (n=286) or a chemotherapy agent (capecitabine, eribulin, gemcitabine, or vinorelbine) of the healthcare provider™s choice (n=126) until disease progression or unacceptable toxicity. (–)",Talazoparib 
8,NDA211651,211651,Talazoparib (2),Oncology,ERBB2 (HER2),"1 INDICATIONS AND USAGE, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",03/09/2020,TALZENNA is indicated for the treatment of adult patients with deleterious or suspected deleterious germline breast cancer susceptibility gene (BRCA)-mutated (gBRCAm) human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer. Select patients for therapy based on an FDA-approved companion diagnostic for TALZENNA [see Dosage and Administration (2.1)].,"6.1 Clinical Trials Experience Treatment of gBRCAm HER2-negative Locally Advanced or Metastatic Breast Cancer EMBRACA The safety of TALZENNA as monotherapy was evaluated in gBRCAm patients with HER2-negative locally advanced or metastatic breast cancer who had previously received no more than 3 lines of chemotherapy for the treatment of locally advanced/metastatic disease. EMBRACA was a randomized, open-label, multi-center study in which 412 patients received either TALZENNA 1 mg once daily (n=286) or a chemotherapy agent (capecitabine, eribulin, gemcitabine, or vinorelbine) of the healthcare provider™s choice (n=126) until disease progression or unacceptable toxicity. (–)",Talazoparib 
9,BLA125409,125409,Pertuzumab (1),Oncology,ERBB2 (HER2),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",01/16/2020,"1.1 Metastatic Breast Cancer (MBC) PERJETA is indicated for use in combination with trastuzumab and docetaxel for the treatment of patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease. 1.2 Early Breast Cancer (EBC)  PERJETA is indicated for use in combination with trastuzumab and chemotherapy for  Ł the neoadjuvant treatment of patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer (either greater than 2 cm in diameter or node positive) as part of a complete treatment regimen for early breast cancer [see Dosage and Administration (2.2) and Clinical Studies (14.2)]. Pharmacology, Clinical Studies Ł the adjuvant treatment of patients with HER2-positive early breast cancer at high risk of recurrence [see Dosage and Administration (2.2) and Clinical Studies (14.3)].",6.1 Clinical Trials Experience Metastatic Breast Cancer (MBC) (–) The adverse reactions described in Table 1 were identified in 804 patients with HER2-positive metastatic breast cancer treated in Study 1. (–)  Adjuvant Treatment of Breast Cancer (APHINITY)  The adverse reactions described in Table 6 were identified in 4769 patients with HER2-positive early breast cancer treated in APHINITY. (–),Pertuzumab 
