,Drug_bank_ID,Drug_name,Generic_names,Indications,Associated_condition,URL,Disease_Url,Disease_ID,Disease,Drug_application_number
0,DB08911,Trametinib#Mekinist#Tramétinib#Trametinibum,Trametinib,"Trametinib is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [FDA].
In May 2018, it was approved for use with Dabrafenib for the treatment of treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene 3.
",Metastatic Melanoma,https://go.drugbank.com//indications/DBCOND0030058,DBCOND0030058,DBCOND0030058,"Metastatic Melanoma#Metastatic Melanoma Stage IV#Metastatic Melanoma (MEL)#Malignant melanoma, metastatic (morphologic abnormality)#Metastatic malignant melanoma#Metastatic malignant melanoma (disorder)",NDA204114
1,DB08911,Trametinib#Mekinist#Tramétinib#Trametinibum,Trametinib,"Trametinib is indicated for the treatment of unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [FDA].
In May 2018, it was approved for use with Dabrafenib for the treatment of treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene 3.
",Unresectable Melanoma,https://go.drugbank.com//indications/DBCOND0047213,DBCOND0047213,DBCOND0047213,Unresectable Melanoma,NDA204114
2,DB12015,Alpelisib#Piqray 300 Mg Daily Dose,Alpelisib,"Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer.Label This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated.Label The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.Label
","Advanced, Metastatic Breast Cancer",https://go.drugbank.com//indications/DBCOND0065517,DBCOND0065517,DBCOND0065517,"Advanced, Metastatic Breast Cancer#Advanced Metastatic Breast Cancer",NDA212526
3,DB12147,Erdafitinib#Balversa,Erdafitinib,"Erdafitinib is a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor Label1,2,3 that is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma that has:
i) susceptible FGFR3 or FGFR2 genetic alterations and has Label,
ii) progressed during or following at least one line of prior platinum-containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy Label.
The selection of patients for the treatment of locally advanced or metastatic urothelial carcinoma with erdafitinib should be based on the presence of susceptible FGFR genetic alterations in tumor specimens as detected by an FDA-approved companion diagnostic like the FDA approved therascreen FGFR RGQ RT-PCR Kit as developed by QIAGEN Label.
This above indication is approved under accelerated approval by the US FDA based on tumor response rate Label. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials Label.
","Locally Advanced, Susceptible FGFR3 or FGFR2 genetic alterations, Condition has progressed during or following at least one line of prior platinum- containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy urothelial carcinoma",https://go.drugbank.com//indications/DBCOND0119106,DBCOND0119106,DBCOND0119106,"Locally Advanced, Susceptible FGFR3 or FGFR2 genetic alterations, Condition has progressed during or following at least one line of prior platinum- containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy urothelial carcinoma",NDA212018
4,DB12147,Erdafitinib#Balversa,Erdafitinib,"Erdafitinib is a pan-fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitor Label1,2,3 that is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma that has:
i) susceptible FGFR3 or FGFR2 genetic alterations and has Label,
ii) progressed during or following at least one line of prior platinum-containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy Label.
The selection of patients for the treatment of locally advanced or metastatic urothelial carcinoma with erdafitinib should be based on the presence of susceptible FGFR genetic alterations in tumor specimens as detected by an FDA-approved companion diagnostic like the FDA approved therascreen FGFR RGQ RT-PCR Kit as developed by QIAGEN Label.
This above indication is approved under accelerated approval by the US FDA based on tumor response rate Label. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials Label.
","Metastatic Susceptible FGFR3 or FGFR2 genetic alterations, Condition has progressed during or following at least one line of prior platinum- containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy Metastatic Urothelial Carcinoma",https://go.drugbank.com//indications/DBCOND0119110,DBCOND0119110,DBCOND0119110,"Metastatic Susceptible FGFR3 or FGFR2 genetic alterations, Condition has progressed during or following at least one line of prior platinum- containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy Metastatic Urothelial Carcinoma#Susceptible FGFR3 or FGFR2 genetic alterations, Condition has progressed during or following at least one line of prior platinum- containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy Metastatic Urothelial Carcinoma",NDA212018
5,DB00530,"Erlotinib#[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine#Tarceva",Erlotinib,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
",Locally Advanced Non-Small Cell Lung Cancer,https://go.drugbank.com//indications/DBCOND0039376,DBCOND0039376,DBCOND0039376,"Locally Advanced Non-Small Cell Lung Cancer#Nonsmall Cell Lung Cancer Stage III#Non-Small Cell Lung Cancer (Stage III)#Non Small Cell Lung Cancer Stage III#Stage III Non-small-Cell Lung Cancer#Non Small Cell Lung Cancer (Stage III)#Stage III Non-Small Cell Lung Cancer#Non-small Cell Lung Cancer, Stage III#NSCLC, Stage III#Stage III NSCLC#Non-small Cell Lung Cancer Stage III#Stage 3 Non-small cell lung cancer#Locally advanced Non small cell lung cancer#Locally Advanced Non Small Cell Lung Cancer (NSCLC)*#Locally Advanced NSCLC#Lung cancer non-small cell stage III",NDA021743
6,DB00530,"Erlotinib#[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine#Tarceva",Erlotinib,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
",Locally Advanced Pancreatic Cancer,https://go.drugbank.com//indications/DBCOND0040768,DBCOND0040768,DBCOND0040768,Locally Advanced Pancreatic Cancer#Pancreatic Carcinoma Stage II,NDA021743
7,DB00530,"Erlotinib#[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine#Tarceva",Erlotinib,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
",Metastatic Non-Small Cell Lung Cancer,https://go.drugbank.com//indications/DBCOND0043377,DBCOND0043377,DBCOND0043377,Metastatic Non-Small Cell Lung Cancer#Metastatic Nonsmall Cell Lung Cancer#Metastatic NSCLC#Metastatic Non-Small Cell Lung Carcinoma#Metastatic Non-small Cell Lung Cancer (NSCLC)#Metastatic Non Small Cell Lung Cancer#Metastatic Non-Small-Cell Lung Cancer#Non-small cell lung cancer metastatic#Metastatic non-small cell lung cancer (disorder)#Lung cancer non-small cell stage IV#Non-small cell lung cancer stage IV,NDA021743
8,DB00530,"Erlotinib#[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine#Tarceva",Erlotinib,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
",Non-Small Cell Lung Carcinoma (NSCLC),https://go.drugbank.com//indications/DBCOND0034623,DBCOND0034623,DBCOND0034623,"Non-Small Cell Lung Carcinoma (NSCLC)#Lung Cancer Non Small Cell#Non-Small Cell Lung Cancer, Lung Cancer, Cancer#Non-small-lung-cell Cancer#Lung Cancer, Non-Small-Cell#Non -Small Cell Lung Cancer#Carcinoma, Non- Small Cell Lung#Carcinoma, Non-Small Cell Lung Cancer (NSCLC)#Carcinoma, Non-Small-Cell-Lung Cancer#Non-Small Cell Carcinoma of Lung#Carcinoma, Non-small Cell Lung Cancer#Carcinoma, Non-Small Cell-Lung#Non Small Cell Carcinoma of the Lung#NSCLC Non Small Cells Lung Cancer#Lung Carcinomas, Non-Small-Cell#Lung Non-Small Cell Carcinoma#Carcinoma，Non-Small-Cell Lung#Carcinoma, Non-Small-Cell-Lung#Carcinoma Non-small-cell Lung#Carcinoma, Non-Small -Cell Lung#Non-small Cell Lung Cancer, NSCLC#Non-small-lung-cell Cancer, NSCLC#Non-small-cell-lung-cancer (NSCLC)#Non-small Cell Lung Cancer NSCLC#NSCLC (Non-small Cell Lung Carcinoma)#Non Small Cell Lung Carcinoma NSCLC#Carcinoma, Non Small Cell Lung (NSCLC)#Carcinoma, Non-Small-Cell Lung (NSCLC)#Non-Small-Cell Lung Carcinoma NSCLC#Non Small Cell Lung Carcinoma (NSCLC)#Carcinoma, Non Small Cell Lung#Non Small Cell Lung Carcinoma#Non Small Cell Lung Cancer NSCLC#Lung Cancer - Non Small Cell#Non- Small Cell Lung Cancer#Non-Small Cell Lung Cancer(NSCLC)#NSCLC#Lung Cancer, Non-Small Cell#Lung Cancer Non-Small Cell#Lung Cancer, Nonsmall Cell#Non-Small-Cell-Lung Cancer#Non-Small-Cell-Lung Cancer (NSCLC)#Non - Small Cell Lung Cancer NSCLC#Nonsmall Cell Lung Cancer#Non-Small Cell Lung Cancer#Non-Small-Cell Lung Cancer (NSCLC)#NSCLC (Non-Small Cell Lung Cancer)#Lung Cancer (Non-Small Cell)#NSCLC, Non Small Cell Lung Cancer#Non-small Cell Lung Cancers#Non-Small Cell Lung Carcinoma#Non-Small-Cell Lung Cancer#Non-Small Cell Lung Cancer (NSCLC)#Non Small Cell Lung Cancer#Carcinoma, Non-Small Cell Lung#Lung Cancer Non-Small Cell Cancer (NSCLC)#Non Small-cell Lung Cancer#NSCLC Non-small Cell Lung Cancer#Non Small Cells Lung Cancer#Lung Cancer (NSCLC)#Carcinoma, Non-Small-Cell Lung#Non-Small-Cell Lung Carcinoma (NSCLC)#Non-Small-Cell Lung Carcinoma#Lung Cancer(NSCLC)#Non Small Cell Lung Cancer (NSCLC)#Non-small cell lung cancer (disorder)#Non-small cell lung cancer NOS",NDA021743
9,DB00530,"Erlotinib#[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine#Tarceva",Erlotinib,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
","Pancreatic Cancer, Metastatic",https://go.drugbank.com//indications/DBCOND0057818,DBCOND0057818,DBCOND0057818,"Pancreatic Cancer, Metastatic#Pancreatic Metastatic Cancer#Metastatic Pancreatic Cancers#Pancreatic Cancer Metastatic#Metastatic Pancreatic Cancer#Metastases to pancreas#Malignant neoplasm of pancreas metastatic#Pancreas neoplasm malignant metastatic#Secondary malignant neoplasm of pancreas (disorder)#Pancreatic carcinoma stage IV#Pancreatic carcinoma metastatic",NDA021743
